,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
29,frozenset({' CONTRATAÇÃO DE SERVIÇOS DE VIGILÂNCIA ELETRÔNICA'}),frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),0.02367234182190035,0.023779180244049482,0.02258106365280565,0.9539007092198581,40.11495347736232,0.022018154769823932,21.176482397782923
30,frozenset({' CONTRATAÇÃO DE SERVIÇOS DE VIGILÂNCIA ELETRÔNICA'}),frozenset({' FUNDO EMERGENCIAL DE PREVENÇÃO AS CHUVAS'}),0.02367234182190035,0.023878387350330817,0.022375018124375187,0.945196647324307,39.58377228147327,0.021809760776862416,17.81134848493693
31,frozenset({' FUNDO EMERGENCIAL DE PREVENÇÃO AS CHUVAS'}),frozenset({' CONTRATAÇÃO DE SERVIÇOS DE VIGILÂNCIA ELETRÔNICA'}),0.023878387350330817,0.02367234182190035,0.022375018124375187,0.9370405880472995,39.58377228147327,0.021809760776862416,15.507255037762823
32,frozenset({' REPASSAR RECURSOS PARA MANUTENÇÃO DE ESCOLAS'}),frozenset({' CONTRATAÇÃO DE SERVIÇOS DE VIGILÂNCIA ELETRÔNICA'}),0.024427842092812065,0.02367234182190035,0.022283442333961644,0.9122149328334894,38.53505241249762,0.02170517810596919,11.12179656166581
33,frozenset({' CONTRATAÇÃO DE SERVIÇOS DE VIGILÂNCIA ELETRÔNICA'}),frozenset({' REPASSAR RECURSOS PARA MANUTENÇÃO DE ESCOLAS'}),0.02367234182190035,0.024427842092812065,0.022283442333961644,0.9413281753707285,38.53505241249762,0.02170517810596919,16.627608977077454
34,frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),frozenset({' EXECUTAR AVALIAÇOES INTERNA'}),0.023779180244049482,0.022672639443219195,0.022672639443219195,0.9534659820282413,42.05359435173299,0.02213350266329054,21.002427968930522
35,frozenset({' EXECUTAR AVALIAÇOES INTERNA'}),frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),0.022672639443219195,0.023779180244049482,0.022672639443219195,1.0,42.05359435173299,0.02213350266329054,inf
36,frozenset({' EXECUTAR O PROGRAMA DE MANUTENÇÃO PREDIAL'}),frozenset({' EXECUTAR O PROJETO FORTALECIMENTO DAS APRENDIZAGENS'}),0.023969963140744358,0.024305741038927343,0.022672639443219195,0.9458771092008915,38.91578979986676,0.022090031726407628,18.027386278804318
37,frozenset({' EXECUTAR O PROJETO FORTALECIMENTO DAS APRENDIZAGENS'}),frozenset({' EXECUTAR O PROGRAMA DE MANUTENÇÃO PREDIAL'}),0.024305741038927343,0.023969963140744358,0.022672639443219195,0.9328100470957614,38.91578979986676,0.022090031726407628,14.526428352321174
38,frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),frozenset({' EXECUTAR O PROGRAMA DE MANUTENÇÃO PREDIAL'}),0.023779180244049482,0.023969963140744358,0.022497119178259906,0.9460847240051347,39.469594444097055,0.021927133104292923,18.103033302699007
39,frozenset({' EXECUTAR O PROGRAMA DE MANUTENÇÃO PREDIAL'}),frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),0.023969963140744358,0.023779180244049482,0.022497119178259906,0.9385546004457179,39.469594444097055,0.021927133104292923,15.88761448110591
40,frozenset({' EXECUTAR O PROGRAMA DE MANUTENÇÃO PREDIAL'}),frozenset({' FUNDO EMERGENCIAL DE PREVENÇÃO AS CHUVAS'}),0.023969963140744358,0.023878387350330817,0.02241317470371416,0.9350525310410698,39.15894810325687,0.021840810639066316,15.029401888885362
41,frozenset({' FUNDO EMERGENCIAL DE PREVENÇÃO AS CHUVAS'}),frozenset({' EXECUTAR O PROGRAMA DE MANUTENÇÃO PREDIAL'}),0.023878387350330817,0.023969963140744358,0.02241317470371416,0.9386385426653883,39.15894810325687,0.021840810639066316,15.906239506940672
42,frozenset({' REPASSAR RECURSOS PARA MANUTENÇÃO DE ESCOLAS'}),frozenset({' EXECUTAR O PROGRAMA DE MANUTENÇÃO PREDIAL'}),0.024427842092812065,0.023969963140744358,0.022497119178259906,0.9209621993127146,38.421510867793316,0.021911584703687276,12.348901770697513
43,frozenset({' EXECUTAR O PROGRAMA DE MANUTENÇÃO PREDIAL'}),frozenset({' REPASSAR RECURSOS PARA MANUTENÇÃO DE ESCOLAS'}),0.023969963140744358,0.024427842092812065,0.022497119178259906,0.9385546004457179,38.42151086779332,0.021911584703687276,15.877057761587967
44,frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),frozenset({' EXECUTAR O PROJETO FORTALECIMENTO DAS APRENDIZAGENS'}),0.023779180244049482,0.024305741038927343,0.02280237181297171,0.9589216944801026,39.452477212865986,0.022224401215841866,23.752057116583533
45,frozenset({' EXECUTAR O PROJETO FORTALECIMENTO DAS APRENDIZAGENS'}),frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),0.024305741038927343,0.023779180244049482,0.02280237181297171,0.9381475667189952,39.452477212865986,0.022224401215841866,15.783062491993402
46,frozenset({' EXECUTAR O PROJETO FORTALECIMENTO DAS APRENDIZAGENS'}),frozenset({' FUNDO EMERGENCIAL DE PREVENÇÃO AS CHUVAS'}),0.024305741038927343,0.023878387350330817,0.022596326284541245,0.9296703296703297,38.93354756461181,0.022015944385176907,13.87922917986249
47,frozenset({' FUNDO EMERGENCIAL DE PREVENÇÃO AS CHUVAS'}),frozenset({' EXECUTAR O PROJETO FORTALECIMENTO DAS APRENDIZAGENS'}),0.023878387350330817,0.024305741038927343,0.022596326284541245,0.9463087248322148,38.93354756461181,0.022015944385176907,18.172305573150005
48,frozenset({' REPASSAR RECURSOS PARA MANUTENÇÃO DE ESCOLAS'}),frozenset({' EXECUTAR O PROJETO FORTALECIMENTO DAS APRENDIZAGENS'}),0.024427842092812065,0.024305741038927343,0.02283289707644289,0.9347079037800686,38.456260283653506,0.022239160272395194,14.94352786093009
49,frozenset({' EXECUTAR O PROJETO FORTALECIMENTO DAS APRENDIZAGENS'}),frozenset({' REPASSAR RECURSOS PARA MANUTENÇÃO DE ESCOLAS'}),0.024305741038927343,0.024427842092812065,0.02283289707644289,0.939403453689168,38.456260283653506,0.022239160272395194,16.09946799447873
50,frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),frozenset({' FUNDO EMERGENCIAL DE PREVENÇÃO AS CHUVAS'}),0.023779180244049482,0.023878387350330817,0.02252764444173109,0.9473684210526315,39.67472372205682,0.02195983596499034,18.546310640343698
51,frozenset({' FUNDO EMERGENCIAL DE PREVENÇÃO AS CHUVAS'}),frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),0.023878387350330817,0.023779180244049482,0.02252764444173109,0.9434324065196549,39.67472372205682,0.02195983596499034,17.257598559414525
52,frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),frozenset({' REALIZAR AVALIAÇÃO INTERNA'}),0.023779180244049482,0.022886316287517458,0.022115553384870153,0.9300385109114249,40.63731791641287,0.02157133554474695,13.966450635083
53,frozenset({' REALIZAR AVALIAÇÃO INTERNA'}),frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),0.022886316287517458,0.023779180244049482,0.022115553384870153,0.9663221073691229,40.63731791641287,0.02157133554474695,28.98699245988205
54,frozenset({' REPASSAR RECURSOS PARA MANUTENÇÃO DE ESCOLAS'}),frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),0.024427842092812065,0.023779180244049482,0.022443699967185343,0.9187753826929085,38.63780724412581,0.021862825907087186,12.018780169379994
55,frozenset({' EXTERNA E DE CERTIFICAÇÃO'}),frozenset({' REPASSAR RECURSOS PARA MANUTENÇÃO DE ESCOLAS'}),0.023779180244049482,0.024427842092812065,0.022443699967185343,0.9438382541720154,38.63780724412581,0.021862825907087186,17.370759108793127
56,frozenset({' REPASSAR RECURSOS PARA MANUTENÇÃO DE ESCOLAS'}),frozenset({' FUNDO EMERGENCIAL DE PREVENÇÃO AS CHUVAS'}),0.024427842092812065,0.023878387350330817,0.02242843733544975,0.9181505779443923,38.451113321590036,0.021845139859824867,11.925821687372467
57,frozenset({' FUNDO EMERGENCIAL DE PREVENÇÃO AS CHUVAS'}),frozenset({' REPASSAR RECURSOS PARA MANUTENÇÃO DE ESCOLAS'}),0.023878387350330817,0.024427842092812065,0.02242843733544975,0.9392777245126238,38.451113321590036,0.021845139859824867,16.066133063639946
